"","Trimestre","cac"
"1",1999.75,5659.81005859375
"2",2000,6419.72021484375
"3",2000.25,6542.490234375
"4",2000.5,6397.66015625
"5",2000.75,5998.490234375
"6",2001,5640.02978515625
"7",2001.25,5085.509765625
"8",2001.5,4341.2900390625
"9",2001.75,4461.8701171875
"10",2002,4462.740234375
"11",2002.25,3415.3798828125
"12",2002.5,3150.0400390625
"13",2002.75,2937.8798828125
"14",2003,2953.669921875
"15",2003.25,3210.27001953125
"16",2003.5,3373.19995117188
"17",2003.75,3638.43994140625
"18",2004,3674.28002929688
"19",2004.25,3647.10009765625
"20",2004.5,3706.82006835938
"21",2004.75,3913.68994140625
"22",2005,3911.7099609375
"23",2005.25,4451.740234375
"24",2005.5,4436.4501953125
"25",2005.75,4947.990234375
"26",2006,5188.39990234375
"27",2006.25,5009.419921875
"28",2006.5,5348.72998046875
"29",2006.75,5608.31005859375
"30",2007,5960.0400390625
"31",2007.25,5751.080078125
"32",2007.5,5847.9501953125
"33",2007.75,4869.7900390625
"34",2008,4996.5400390625
"35",2008.25,4392.35986328125
"36",2008.5,3487.07006835938
"37",2008.75,2973.919921875
"38",2009,3159.85009765625
"39",2009.25,3426.27001953125
"40",2009.5,3607.68994140625
"41",2009.75,3739.4599609375
"42",2010,3816.98999023438
"43",2010.25,3643.13989257812
"44",2010.5,3833.5
"45",2010.75,4005.5
"46",2011,4106.919921875
"47",2011.25,3672.77001953125
"48",2011.5,3242.84008789062
"49",2011.75,3298.55004882812
"50",2012,3212.80004882812
"51",2012.25,3291.65991210938
"52",2012.5,3429.27001953125
"53",2012.75,3732.60009765625
"54",2013,3856.75
"55",2013.25,3992.68994140625
"56",2013.5,4299.89013671875
"57",2013.75,4165.72021484375
"58",2014,4487.39013671875
"59",2014.25,4246.14013671875
"60",2014.5,4233.08984375
"61",2014.75,4604.25
"62",2015,5046.490234375
"63",2015.25,5082.60986328125
"64",2015.5,4897.66015625
"65",2015.75,4417.02001953125
"66",2016,4428.9599609375
"67",2016.25,4439.81005859375
"68",2016.5,4509.259765625
"69",2016.75,4748.89990234375
"70",2017,5267.330078125
"71",2017.25,5093.77001953125
"72",2017.5,5503.2900390625
"73",2017.75,5481.93017578125
"74",2018,5520.5
"75",2018.25,5511.2998046875
"76",2018.5,5093.43994140625
"77",2018.75,4992.72021484375
"78",2019,5586.41015625
"79",2019.25,5518.89990234375
"80",2019.5,5729.85986328125
"81",2019.75,5806.33984375
"82",2020,4572.18017578125
"83",2020.25,4783.68994140625
"84",2020.5,4594.240234375
"85",2020.75,5399.2099609375
"86",2021,6269.47998046875
"87",2021.25,6612.759765625
"88",2021.5,6830.33984375
"89",2021.75,6999.2001953125
"90",2022,6533.77001953125
"91",2022.25,6448.5
"92",2022.5,6266.77001953125
"93",2022.75,7082.419921875
"94",2023,7491.5
"95",2023.25,7497.77978515625
"96",2023.5,6885.64990234375
"97",2023.75,7656.75
"98",2024,7984.93017578125
"99",2024.25,7531.490234375
"100",2024.5,7350.3701171875
"101",2024.75,7950.169921875
"102",2025,7593.8701171875
"103",2025.25,7771.97021484375
"104",2025.5,8121.06982421875
"105",2025.75,8126.52978515625
