"","sp","annee","Trimestre"
"1",2059.73999023438,2016,2016
"2",2098.86010742188,2016,2016.25
"3",2168.27001953125,2016,2016.5
"4",2238.830078125,2016,2016.75
"5",2362.71997070312,2017,2017
"6",2423.40991210938,2017,2017.25
"7",2519.36010742188,2017,2017.5
"8",2673.61010742188,2017,2017.75
"9",2640.8701171875,2018,2018
"10",2718.3701171875,2018,2018.25
"11",2913.97998046875,2018,2018.5
"12",2506.85009765625,2018,2018.75
"13",2834.39990234375,2019,2019
"14",2941.76000976562,2019,2019.25
"15",2976.73999023438,2019,2019.5
"16",3230.78002929688,2019,2019.75
"17",2584.59008789062,2020,2020
"18",3100.2900390625,2020,2020.25
"19",3363,2020,2020.5
"20",3756.07006835938,2020,2020.75
"21",3972.88989257812,2021,2021
"22",4297.5,2021,2021.25
"23",4307.5400390625,2021,2021.5
"24",4766.18017578125,2021,2021.75
"25",4530.41015625,2022,2022
"26",3785.3798828125,2022,2022.25
"27",3585.6201171875,2022,2022.5
"28",3839.5,2022,2022.75
"29",4109.31005859375,2023,2023
"30",4450.3798828125,2023,2023.25
"31",4288.0498046875,2023,2023.5
"32",4769.830078125,2023,2023.75
"33",5254.35009765625,2024,2024
"34",5460.47998046875,2024,2024.25
"35",5762.47998046875,2024,2024.5
"36",5881.6298828125,2024,2024.75
"37",5611.85009765625,2025,2025
"38",6204.9501953125,2025,2025.25
"39",6688.4599609375,2025,2025.5
"40",6845.5,2025,2025.75
